feature_index,feature,importance
1859,team2_stats.opponent-stolen-bases-attempted.2023,62293677684.609344
434,team1_stats.opponent-at-bats-per-game.2023,61879091992.45418
1663,team2_stats.opponent-hits-for-extra-bases-pct.2023,61480514895.01634
1866,team2_stats.opponent-stolen-bases-per-game.2023,61169939349.70873
1397,team2_stats.isolated-power.2023,60883364096.69815
392,team1_stats.opponent-4th-inning-runs-per-game.2023,60726899965.314545
1681,team2_stats.opponent-hits-per-game.Last 1,60265240018.78826
1293,team2_stats.first-6-innings-runs-per-game.Last 1,60240490724.09314
1058,team1_stats.vs-6-10-by-other.Hi,60220876303.57126
1126,team2_stats.3rd-inning-runs-per-game.2023,60158873112.55379
279,team1_stats.in-division-by-other.Lo,60000465052.6263
1045,team1_stats.vs-11-16-by-other.Lo,59790145636.19324
802,team1_stats.opponent-total-bases-per-game.Last 1,59679477374.74103
1161,team2_stats.8th-inning-runs-per-game.2023,59043773164.43444
1175,team2_stats.at-bats-per-game.2023,58918659638.844505
2014,team2_stats.runs-per-game.2023,58347909965.242744
532,team1_stats.opponent-first-6-innings-runs-per-game.2023,57708721779.908295
1639,team2_stats.opponent-first-5-innings-runs-per-game.Last 1,57218934902.06257
424,team1_stats.opponent-8th-inning-runs-per-game.Last 1,57154729122.77154
1824,team2_stats.opponent-secondary-average.2023,56726256511.66916
1416,team2_stats.last-3-innings-runs-per-game.2023,56691326932.46643
2141,team2_stats.triples-per-game.2023,56356658553.08001
1950,team2_stats.opponent-win-pct-all-games.2023,55955156175.28451
1043,team1_stats.vs-11-16-by-other.Hi,55859509103.76947
1360,team2_stats.home-by-other.Lo,55806130796.06578
1261,team2_stats.extra-base-hit-pct.2023,55456380699.57788
752,team1_stats.opponent-stolen-bases-attempted.Home,55236468587.809235
448,team1_stats.opponent-batting-average.2023,54670974949.16592
240,team1_stats.home-adv-by-other.Hi,53513657352.791336
681,team1_stats.opponent-run-differential.Away,53502529934.351814
1423,team2_stats.last-4-innings-runs-per-game.2023,52957865012.44886
1302,team2_stats.games-played.2024,52501010110.237236
1987,team2_stats.predictive-by-other.Lo,52352504941.372665
932,team1_stats.season-sos-by-other.Lo,52107020551.61154
230,team1_stats.hits-per-game.Last 1,52101103971.78196
1985,team2_stats.predictive-by-other.Hi,51868924238.10723
968,team1_stats.stolen-base-pct.2023,51669674324.83153
1862,team2_stats.opponent-stolen-bases-attempted.Home,51483421041.29817
1982,team2_stats.plate-appearances.Last 1,51391525619.449615
2160,team2_stats.vs-17-22-by-other.Lo,51249298358.021645
1147,team2_stats.6th-inning-runs-per-game.2023,51131763459.563545
205,team1_stats.hit-by-pitch-per-game.2023,51104943360.90856
1979,team2_stats.plate-appearances.2024,50965258443.74318
1793,team2_stats.opponent-run-differential.Last 1,50954720112.38957
2004,team2_stats.run-differential.Last 1,50927436391.27336
