2025-05-26 15:55:32 INFO     root: Updated final scores for 2 games. Skipped 0 games.
2025-05-26 15:55:32 INFO     root: Preprocessing MLB on 2025-05-14
2025-05-26 15:57:11 INFO     root: populate_pregame_data: inserted/updated 17 rows, skipped 0 games.
2025-05-26 15:57:11 INFO     root: Postprocessing MLB on 2025-05-14
2025-05-26 15:57:11 INFO     root: Updated final scores for 17 games. Skipped 0 games.
2025-05-26 15:57:11 INFO     root: Preprocessing NBA on 2025-05-13
2025-05-26 15:57:45 WARNING  root: 403 Forbidden at https://www.teamrankings.com/nba/stat/opponent-overtime-points-per-game?date=2025-05-13, sleeping 4 minutes before retry
2025-05-26 16:02:30 INFO     root: populate_pregame_data: inserted/updated 2 rows, skipped 0 games.
2025-05-26 16:02:30 INFO     root: Postprocessing NBA on 2025-05-13
2025-05-26 16:02:30 INFO     root: Updated final scores for 2 games. Skipped 0 games.
2025-05-26 16:02:30 INFO     root: Preprocessing MLB on 2025-05-13
2025-05-26 16:04:08 INFO     root: populate_pregame_data: inserted/updated 15 rows, skipped 0 games.
2025-05-26 16:04:08 INFO     root: Postprocessing MLB on 2025-05-13
2025-05-26 16:04:09 INFO     root: Updated final scores for 13 games. Skipped 2 games.
2025-05-26 16:04:09 INFO     root: Preprocessing NBA on 2025-05-12
2025-05-26 16:05:06 WARNING  root: 403 Forbidden at https://www.teamrankings.com/nba/stat/opponent-assists-per-fgm?date=2025-05-12, sleeping 4 minutes before retry
2025-05-26 16:09:31 INFO     root: populate_pregame_data: inserted/updated 2 rows, skipped 0 games.
2025-05-26 16:09:31 INFO     root: Postprocessing NBA on 2025-05-12
2025-05-26 16:09:31 INFO     root: Updated final scores for 2 games. Skipped 0 games.
2025-05-26 16:09:31 INFO     root: Preprocessing MLB on 2025-05-12
2025-05-26 16:11:00 INFO     root: populate_pregame_data: inserted/updated 11 rows, skipped 0 games.
2025-05-26 16:11:00 INFO     root: Postprocessing MLB on 2025-05-12
2025-05-26 16:11:01 INFO     root: Updated final scores for 11 games. Skipped 0 games.
2025-05-26 16:11:01 INFO     root: Preprocessing NBA on 2025-05-11
2025-05-26 16:12:18 INFO     root: populate_pregame_data: inserted/updated 2 rows, skipped 0 games.
2025-05-26 16:12:18 INFO     root: Postprocessing NBA on 2025-05-11
2025-05-26 16:12:19 INFO     root: Updated final scores for 2 games. Skipped 0 games.
2025-05-26 16:12:19 INFO     root: Preprocessing MLB on 2025-05-11
2025-05-26 16:12:19 WARNING  root: 403 Forbidden at https://www.teamrankings.com/mlb/stat/runs-per-game?date=2025-05-11, sleeping 4 minutes before retry
2025-05-26 16:18:02 INFO     root: populate_pregame_data: inserted/updated 15 rows, skipped 0 games.
2025-05-26 16:18:02 INFO     root: Postprocessing MLB on 2025-05-11
2025-05-26 16:18:02 INFO     root: Updated final scores for 15 games. Skipped 0 games.
2025-05-26 16:18:02 INFO     root: Preprocessing NBA on 2025-05-10
2025-05-26 16:19:21 INFO     root: populate_pregame_data: inserted/updated 2 rows, skipped 0 games.
2025-05-26 16:19:21 INFO     root: Postprocessing NBA on 2025-05-10
2025-05-26 16:19:22 INFO     root: Updated final scores for 2 games. Skipped 0 games.
2025-05-26 16:19:22 INFO     root: Preprocessing MLB on 2025-05-10
2025-05-26 16:19:35 WARNING  root: 403 Forbidden at https://www.teamrankings.com/mlb/stat/secondary-average?date=2025-05-10, sleeping 4 minutes before retry
2025-05-26 16:25:04 INFO     root: populate_pregame_data: inserted/updated 15 rows, skipped 0 games.
2025-05-26 16:25:04 INFO     root: Postprocessing MLB on 2025-05-10
2025-05-26 16:25:04 INFO     root: Updated final scores for 15 games. Skipped 0 games.
2025-05-26 16:25:04 INFO     root: Preprocessing NBA on 2025-05-09
2025-05-26 16:26:28 INFO     root: populate_pregame_data: inserted/updated 2 rows, skipped 0 games.
2025-05-26 16:26:28 INFO     root: Postprocessing NBA on 2025-05-09
2025-05-26 16:26:28 INFO     root: Updated final scores for 2 games. Skipped 0 games.
2025-05-26 16:26:28 INFO     root: Preprocessing MLB on 2025-05-09
2025-05-26 16:26:55 WARNING  root: 403 Forbidden at https://www.teamrankings.com/mlb/stat/opponent-rbis-per-game?date=2025-05-09, sleeping 4 minutes before retry
