feature_index,feature,importance
1951,team2_stats.opponent-walks-plus-hits--per--innings-pitched.Rank,0.544034651684947
1241,team2_stats.doubles-per-game.Rank,0.5423468471478887
1267,team2_stats.extra-base-hit-pct.Last 1,0.5420369025685761
2067,team2_stats.singles-per-game.Rank,0.5415476318681548
1551,team2_stats.opponent-at-bats-per-game.Last 3,0.5396793588484575
1694,team2_stats.opponent-home-run-pct.2023,0.5394370857646505
664,team1_stats.opponent-outs-pitched-per-game.Last 1,0.5375197969229647
1169,team2_stats.8th-inning-runs-per-game.Rank,0.5363827585521519
1475,team2_stats.on-base-pct.Rank,0.5355394064353666
1152,team2_stats.6th-inning-runs-per-game.Home,0.535355252063403
2193,team2_stats.walks-per-game.Last 1,0.5353083271312767
1532,team2_stats.opponent-8th-inning-runs-per-game.2022,0.5321173560918684
1908,team2_stats.opponent-team-left-on-base-per-game.Last 3,0.5311774452059654
2180,team2_stats.walk-pct.Last 3,0.5298817640112987
237,team1_stats.hits-per-run.Away,0.5294044167767226
136,team1_stats.earned-run-average.Last 1,0.5290951228144171
1222,team2_stats.consistency-by-other.Lo,0.5278444134914068
789,team1_stats.opponent-strikeouts-per-walk.Home,0.5248537291155265
455,team1_stats.opponent-batting-average.Last 3,0.5240474383834219
996,team1_stats.strikeout-pct.Last 3,0.5240299381501359
479,team1_stats.opponent-doubles-per-game.2023,0.5238751471762125
2042,team2_stats.season-sos-by-other.Hi,0.5217776403041543
1583,team2_stats.opponent-double-plays-per-game.Away,0.5200891339757427
2121,team2_stats.strikeouts-per-game.Rank,0.5178112244303323
82,team1_stats.away-by-other.Last,0.5172638099206976
1360,team2_stats.home-by-other.Hi,0.5170695686483828
374,team1_stats.opponent-1st-inning-runs-per-game.2023,0.512851026739166
1149,team2_stats.6th-inning-runs-per-game.2022,0.5116941646411296
14,team1_stats.2nd-inning-runs-per-game.Home,0.5103232721310499
1863,team2_stats.opponent-stolen-bases-attempted.Away,0.5095958358960149
2154,team2_stats.vs-1-5-by-other.Rating,0.5095208359697212
901,team1_stats.runners-left-in-scoring-position-per-game.Away,0.508437076141214
1617,team2_stats.opponent-extra-base-hit-pct.2023,0.5077692439611594
818,team1_stats.opponent-walk-pct.Last 1,0.5070187780228639
2185,team2_stats.walks-per-9.Home,0.5069409694123775
1812,team2_stats.opponent-sacrifice-flys-per-game.2022,0.5068847330609729
2057,team2_stats.shutouts.Home,0.5062328992117965
491,team1_stats.opponent-earned-run-average.Rank,0.5047795046816161
1620,team2_stats.opponent-extra-base-hit-pct.Last 1,0.5047563142715483
1527,team2_stats.opponent-7th-inning-runs-per-game.Away,0.5026738441892418
157,team1_stats.extra-base-hit-pct.Last 1,0.5020500985093106
1611,team2_stats.opponent-errors-per-game.Away,0.5014721919810795
827,team1_stats.opponent-walks-per-9.Rank,0.5008511158450227
209,team1_stats.hit-by-pitch-per-game.Away,0.49999512148458175
76,team1_stats.at-bats-per-home-run.Away,0.49997669266065875
557,team1_stats.opponent-hits-for-extra-bases-pct.Away,0.49981681845914117
464,team1_stats.opponent-caught-stealing-per-game.2022,0.49565173132704504
645,team1_stats.opponent-no-run-first-inning-pct.Rank,0.49555352058851715
862,team1_stats.opponent-yes-run-first-inning-pct.Rank,0.49555352058851715
1545,team2_stats.opponent-9th-inning-runs-per-game.Rank,0.49519396715507275
820,team1_stats.opponent-walk-pct.Rank,0.49431244285097475
1992,team2_stats.predictive-by-other.v 1-5,0.4922341183892067
1435,team2_stats.last-5-games-by-other.Rank,0.49219170161018394
1564,team2_stats.opponent-batting-average.Last 1,0.49092448946776646
1377,team2_stats.home-runs-per-9.Away,0.4906067699415958
480,team1_stats.opponent-doubles-per-game.Away,0.49056427473316716
841,team1_stats.opponent-walks-plus-hits--per--innings-pitched.Rank,0.48931744993222676
