feature_index,feature,importance
307,team1_stats.last-2-innings-runs-per-game.Rank,0.6414565973148167
602,team1_stats.opponent-home-runs-per-game.Last 3,0.6389541870864013
1076,team1_stats.walks-per-9.Last 1,0.6385003368749707
1245,team2_stats.earned-run-average.Home,0.6379882506361891
1612,team2_stats.opponent-errors-per-game.Home,0.6374035550814224
1653,team2_stats.opponent-grounded-into-double-plays-per-game.Away,0.6361135988609936
154,team1_stats.extra-base-hit-pct.2023,0.6318589902896318
1977,team2_stats.outs-pitched-per-game.Last 1,0.6293559241306801
1898,team2_stats.opponent-strikeouts-per-walk.Away,0.6267888109224781
1676,team2_stats.opponent-hits-per-9.Last 1,0.6255262646059796
1143,team2_stats.5th-inning-runs-per-game.2023,0.6247882505699843
397,team1_stats.opponent-4th-inning-runs-per-game.Home,0.6236429142100831
1492,team2_stats.opponent-2nd-inning-runs-per-game.Away,0.6224659487189614
350,team1_stats.non-division-by-other.Last,0.6217759033977968
852,team1_stats.opponent-win-pct-close-games.Home,0.6204591230230235
2076,team2_stats.sos-basic-by-other.Last,0.6201978439092611
1786,team2_stats.opponent-rbis-per-game.Away,0.6186717242145044
603,team1_stats.opponent-home-runs-per-game.Rank,0.6184460917272705
633,team1_stats.opponent-left-on-base-per-game.2023,0.6181641131447941
1212,team2_stats.batting-average-on-balls-in-play.Rank,0.617459557495045
1259,team2_stats.errors-per-game.Home,0.6139923259613366
1930,team2_stats.opponent-walk-pct.Rank,0.6136350295654175
1460,team2_stats.non-division-by-other.Last,0.6126284357384916
1716,team2_stats.opponent-isolated-power.Away,0.6117011314930723
1166,team2_stats.8th-inning-runs-per-game.Home,0.6116137112049774
205,team1_stats.grounded-into-double-plays-per-game.Last 3,0.6066927579121142
2124,team2_stats.strikeouts-per-walk.Away,0.6064038140933409
941,team1_stats.secondary-average.Last 1,0.6056845644485591
1867,team2_stats.opponent-stolen-bases-attempted.Rank,0.603470163237437
2153,team2_stats.vs-1-5-by-other.Rank,0.6027248415239748
2051,team2_stats.secondary-average.Last 1,0.6022398197149748
669,team1_stats.opponent-plate-appearances.Away,0.6007291353041685
1892,team2_stats.opponent-strikeouts-per-game.Home,0.6003442001186866
1209,team2_stats.batting-average-on-balls-in-play.Home,0.5982088488960376
931,team1_stats.schedule-strength-by-other.Rating,0.5948054195100058
1979,team2_stats.outs-pitched-per-game.Rank,0.5937691166235252
422,team1_stats.opponent-8th-inning-runs-per-game.2022,0.5916129647907679
1886,team2_stats.opponent-strikeouts-per-9.Last 1,0.5888803358582506
1115,team2_stats.1st-inning-runs-per-game.2023,0.588852160392632
425,team1_stats.opponent-8th-inning-runs-per-game.Home,0.5883245726809153
1157,team2_stats.7th-inning-runs-per-game.2023,0.5878184428286174
415,team1_stats.opponent-7th-inning-runs-per-game.2022,0.5871981508721174
759,team1_stats.opponent-stolen-bases-per-game.2023,0.5858472251717304
594,team1_stats.opponent-home-runs-per-9.Last 1,0.5857151770239888
375,team1_stats.opponent-1st-inning-runs-per-game.Away,0.5851591449663787
2086,team2_stats.stolen-base-pct.Rank,0.5836552315742645
95,team1_stats.batting-average.Rank,0.5835956353818227
1510,team2_stats.opponent-4th-inning-runs-per-game.Rank,0.5832773888599295
1974,team2_stats.outs-pitched-per-game.2023,0.581707308551786
496,team1_stats.opponent-earned-runs-against-per-game.Last 1,0.5799048237975986
1240,team2_stats.doubles-per-game.Last 3,0.5788510896882485
694,team1_stats.opponent-runners-left-in-scoring-position-per-game.Rank,0.5783147061703036
996,team1_stats.strikeout-pct.Last 3,0.5776313963456524
1624,team2_stats.opponent-extra-inning-runs-per-game.2023,0.5759618765075777
2132,team2_stats.team-left-on-base-per-game.Home,0.5752457290628153
1944,team2_stats.opponent-walks-per-game.Rank,0.5751199144546132
1888,team2_stats.opponent-strikeouts-per-9.Rank,0.5747168783068412
355,team1_stats.non-division-sos-by-other.Last,0.5735440010509784
1540,team2_stats.opponent-9th-inning-runs-per-game.2023,0.5729478283378994
2052,team2_stats.secondary-average.Last 3,0.572736078383953
144,team1_stats.earned-runs-against-per-game.Last 3,0.5711475062092315
1709,team2_stats.opponent-home-runs-per-game.Away,0.569664325702689
1083,team1_stats.walks-per-game.Last 1,0.5681514387643367
464,team1_stats.opponent-caught-stealing-per-game.2022,0.5669292779644894
1221,team2_stats.consistency-by-other.Last,0.5666948083691672
1781,team2_stats.opponent-plate-appearances.Last 1,0.5663456335515324
1440,team2_stats.left-on-base-per-game.Home,0.5663215461807897
407,team1_stats.opponent-5th-inning-runs-per-game.Rank,0.5647699328614469
475,team1_stats.opponent-double-plays-per-game.Last 1,0.5642822795000976
1792,team2_stats.opponent-run-differential.2023,0.5632307604860853
2003,team2_stats.run-differential.2023,0.5632307604860853
1713,team2_stats.opponent-home-runs-per-game.Rank,0.5610182563595418
1036,team1_stats.triples-per-game.Home,0.5603436798416289
722,team1_stats.opponent-secondary-average.Rank,0.5587531611292997
1819,team2_stats.opponent-sacrifice-hits-per-game.2022,0.55817411205586
1370,team2_stats.home-run-pct.Away,0.5565739874136787
1417,team2_stats.last-2-innings-runs-per-game.Rank,0.5561736519107345
1571,team2_stats.opponent-batting-average-on-balls-in-play.Last 1,0.555727558094166
513,team1_stats.opponent-extra-inning-runs-per-game.2022,0.5553100780731977
1601,team2_stats.opponent-earned-run-average.Rank,0.555255139327505
1254,team2_stats.earned-runs-against-per-game.Last 3,0.5542072427838569
